minute,ambient_C,solar_input_W,electronics_power_W,net_heat_W,internal_C,margin_to_warning_C
218,23.40818413644707,1.3632736545788284,0.08,-2.2909615181925456,58.55613806089047,-3.5561380608904685
219,23.257285398380894,1.302914159352358,0.08,-2.332754541964439,58.2228874120384,-3.2228874120384035
220,23.105828541230252,1.2423314164921009,0.08,-2.3742010962245463,57.883715826863465,-2.8837158268634653
221,22.95383951634792,1.1815358065391675,0.08,-2.4152932787782584,57.53867392989514,-2.5386739298951397
222,22.801344366270868,1.1205377465083466,0.08,-2.456023260188945,57.18781346415386,-2.1878134641538622
223,22.64836922025801,1.0593476881032053,0.08,-2.4963832849384633,56.83118728059122,-1.831187280591223
224,22.494940289813112,0.9979761159252447,0.08,-2.5363656725777135,56.46884932736584,-1.468849327365838
225,22.341083864193543,0.9364335456774173,0.08,-2.575962818867035,56.100854638956264,-1.100854638956264
226,22.18682630590577,0.8747305223623091,0.08,-2.6151671969061643,55.72725932511253,-0.7272593251125272
227,22.032194046188298,0.812877618475319,0.08,-2.6539713582535476,55.34812055964773,-0.34812055964773236
228,21.87721358048277,0.7508854321931087,0.08,-2.6923679340347824,54.96349656907133,0.03650343092866848
229,21.721911463894152,0.6887645855576608,0.08,-2.7303496360399366,54.57344662106563,0.42655337893437206
230,21.56631430664062,0.6265257226562475,0.08,-2.767909257809543,54.178031012807125,0.821968987192875
231,21.41044876949405,0.5641795077976202,0.08,-2.805039675709019,53.777311059134405,1.222688940865595
232,21.254341559211845,0.5017366236847379,0.08,-2.841733849991321,53.371349080564215,1.6286509194357848
233,21.09801942396083,0.43920776958433233,0.08,-2.8779848258476024,52.960208391157416,2.0397916088425845
234,20.94150914873414,0.3766036594936563,0.08,-2.9137857344456357,52.54395328623661,2.456046713763392
235,20.78483755076172,0.31393502030468695,0.08,-2.9491297939558274,52.1226490299572,2.877350970042798
236,20.628031474915332,0.2512125899661324,0.08,-2.984010310564591,51.69636184273369,3.303638157266313
237,20.47111778910882,0.1884471156435288,0.08,-3.0184206794748785,51.26515888852299,3.73484111147701
238,20.314123379694475,0.1256493518777903,0.08,-3.0523543858936324,50.82910826196676,4.170891738033241
239,20.157075146856137,0.06283005874245425,0.08,-3.0858050060060327,50.38827897539447,4.611721024605529
240,20.0,5.878304635907295e-16,0.45,-2.7487662079362596,49.99559808854644,5.004401911453563
